Intent,count
Troubleshooting Computer Freezing Issue,4
Troubleshooting VPN Connection Issue,5
Troubleshooting Email Sending/Receiving Issue,5
Troubleshooting Printer Not Printing Issue,1
Troubleshooting Internet Connection Dropping Issue,1
check refund policy,4
Get_refund,4
set_up_shipping_address,4
Change_shipping_address,4
create_account,5
delete_account,5
edit_account,5
recover_password,5
registration_problems,5
switch_account,5
check_cancellation_fee,5
contact_customer_service,5
contact_human_agent,5
delivery_options,5
delivery_period,5
Complaint,5
Review,5
Check invoice,9
Newssletter subscrition,3
Cancel order,3
Change order,3
Place order,3
Track order,3
,121
